BATCHSENDER,BATCHRECEIVER,XID,BATCHDATE,MSG_CODE,MSG_LEVEL,MSG_NAME,DESCRIPTION,ORGCODE,REFPOSITIONID
НСИ,OSGMU,30d4f04f-260d-4477-aef5-2b03d6d189e2,17.09.2018 04:00:56,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,30d4f04f-260d-4477-aef5-2b03d6d189e2,17.09.2018 04:00:56,,,,,,
АСФК,НСИ,692d5212-791a-457f-967d-772467966eb6,17.09.2018 00:00:00,,,,,84200002,09F097F1-7177-4010-A78F-488A2EA59587
АСФК,НСИ,fa1d54f5-3d06-41e2-9bba-c168f0d83043,17.09.2018 00:00:00,,,,,001D2484,7F63B033-57FC-47F7-9265-0BCEC0606603
АСФК,НСИ,80289494-89a4-4b42-bd31-7ea559ef5250,17.09.2018 00:00:00,,,,,84200002,3DED1391-6A75-4DCC-AD4A-08790CC2789D
АСФК,НСИ,25f38045-9bc0-40f8-a281-cdfa07e3e52f,17.09.2018 00:00:00,,,,,001D2483,43C790F7-7967-F137-2E05-3B518850AC13
АСФК,НСИ,4108064c-9154-40d0-969e-ba40794e2b02,17.09.2018 00:00:00,,,,,001X1102,89719501-911C-4179-A9AA-BD529D98C923
АСФК,НСИ,eec9d330-6e5b-4db0-b1d5-e42692661c0b,17.09.2018 00:00:00,,,,,001X1102,3F210267-4314-4C22-97AB-E80481EA0528
НСИ,OSGMU,1b3baffc-95dc-404d-9d7a-c724e3e507f5,17.09.2018 03:45:40,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
НСИ,OSGMU,1b3baffc-95dc-404d-9d7a-c724e3e507f5,17.09.2018 03:45:40,,,,,,
НСИ,OSGMU,e4ca0387-09e8-47de-abe3-b9c80beda069,17.09.2018 04:45:41,XVE,критичная,Ошибка валидации по схеме,cvc-complex-type.3.1: Значение '1.3' атрибута 'version' элемента 'REF_UBPandNUBP' недопустимо с учетом использования атрибута. Атрибут 'version' имеет фиксированное значение '1.4'.,,
